PKDMainSection,AdressTERC,size
A,20,1
A,28,2
A,16,3
A,08,4
A,30,5
A,06,6
A,32,7
A,18,8
A,04,9
A,26,10
A,10,11
A,22,12
A,02,13
A,14,14
A,12,15
A,24,16
B,06,1
B,20,2
B,26,3
B,18,4
B,10,5
B,30,6
B,28,7
B,04,8
B,12,9
B,24,10
B,14,11
B,22,12
B,02,13
B,08,14
B,16,15
B,32,16
C,22,1
C,10,2
C,18,3
C,16,4
C,26,5
C,12,6
C,24,7
C,30,8
C,28,9
C,04,10
C,32,11
C,06,12
C,20,13
C,02,14
C,08,15
C,14,16
D,04,1
D,28,2
D,20,3
D,08,4
D,06,5
D,16,6
D,32,7
D,22,8
D,10,9
D,26,10
D,30,11
D,14,12
D,24,13
D,02,14
D,18,15
D,12,16
E,26,1
E,20,2
E,04,3
E,08,4
E,14,5
E,30,6
E,10,7
E,24,8
E,06,9
E,28,10
E,02,11
E,32,12
E,16,13
E,12,14
E,18,15
E,22,16
F,08,1
F,16,2
F,12,3
F,32,4
F,26,5
F,28,6
F,18,7
F,20,8
F,30,9
F,06,10
F,22,11
F,04,12
F,02,13
F,24,14
F,10,15
F,14,16
G,26,1
G,10,2
G,06,3
G,24,4
G,08,5
G,30,6
G,04,7
G,20,8
G,18,9
G,16,10
G,02,11
G,12,12
G,28,13
G,14,14
G,32,15
G,22,16
H,20,1
H,06,2
H,08,3
H,04,4
H,22,5
H,18,6
H,10,7
H,12,8
H,32,9
H,28,10
H,14,11
H,24,12
H,26,13
H,30,14
H,02,15
H,16,16
I,32,1
I,22,2
I,12,3
I,28,4
I,02,5
I,24,6
I,16,7
I,08,8
I,18,9
I,06,10
I,20,11
I,26,12
I,14,13
I,04,14
I,10,15
I,30,16
J,14,1
J,02,2
J,12,3
J,24,4
J,22,5
J,18,6
J,20,7
J,30,8
J,10,9
J,06,10
J,16,11
J,04,12
J,32,13
J,26,14
J,28,15
J,08,16
K,24,1
K,16,2
K,04,3
K,02,4
K,28,5
K,06,6
K,14,7
K,10,8
K,30,9
K,20,10
K,08,11
K,22,12
K,32,13
K,26,14
K,18,15
K,12,16
L,14,1
L,02,2
L,22,3
L,24,4
L,12,5
L,32,6
L,28,7
L,30,8
L,10,9
L,20,10
L,08,11
L,04,12
L,16,13
L,18,14
L,06,15
L,26,16
M,14,1
M,02,2
M,24,3
M,12,4
M,30,5
M,22,6
M,10,7
M,18,8
M,20,9
M,16,10
M,06,11
M,28,12
M,04,13
M,32,14
M,26,15
M,08,16
N,14,1
N,32,2
N,16,3
N,02,4
N,30,5
N,28,6
N,04,7
N,12,8
N,08,9
N,22,10
N,24,11
N,06,12
N,26,13
N,10,14
N,18,15
N,20,16
O,22,1
O,24,2
O,14,3
O,12,4
O,10,5
O,16,6
O,32,7
O,06,8
O,04,9
O,08,10
O,30,11
O,02,12
O,26,13
O,28,14
O,18,15
P,14,1
P,24,2
P,02,3
P,10,4
P,28,5
P,22,6
P,30,7
P,12,8
P,16,9
P,04,10
P,06,11
P,18,12
P,32,13
P,08,14
P,26,15
P,20,16
Q,04,1
Q,28,2
Q,20,3
Q,32,4
Q,06,5
Q,02,6
Q,18,7
Q,10,8
Q,24,9
Q,08,10
Q,22,11
Q,30,12
Q,12,13
Q,16,14
Q,14,15
Q,26,16
R,14,1
R,04,2
R,12,3
R,16,4
R,24,5
R,02,6
R,28,7
R,06,8
R,10,9
R,22,10
R,20,11
R,32,12
R,26,13
R,30,14
R,18,15
R,08,16
S,08,1
S,28,2
S,24,3
S,06,4
S,16,5
S,20,6
S,04,7
S,32,8
S,02,9
S,18,10
S,30,11
S,10,12
S,26,13
S,14,14
S,12,15
S,22,16
T,26,1
T,32,2
T,30,3
