"id","name"
"24","ŚLĄSKIE"
"16","OPOLSKIE"
"30","WIELKOPOLSKIE"
"26","ŚWIĘTOKRZYSKIE"
"22","POMORSKIE"
"04","KUJAWSKO-POMORSKIE"
"20","PODLASKIE"
"32","ZACHODNIOPOMORSKIE"
"02","DOLNOŚLĄSKIE"
"18","PODKARPACKIE"
"12","MAŁOPOLSKIE"
"28","WARMIŃSKO-MAZURSKIE"
"10","ŁÓDZKIE"
"14","MAZOWIECKIE"
"06","LUBELSKIE"
"08","LUBUSKIE"
"1815","ROPCZYCKO-SĘDZISZOWSKI"
"1410","ŁOSICKI"
"1418","PIASECZYŃSKI"
"1425","RADOMSKI"
"1427","SIERPECKI"
"1430","SZYDŁOWIECKI"
"1433","WĘGROWSKI"
"1404","GOSTYNIŃSKI"
"1405","GRODZISKI"
"0611","ŁUKOWSKI"
"0618","TOMASZOWSKI"
"0662","CHEŁM"
"1202","BRZESKI"
"1261","KRAKÓW"
"1020","ZGIERSKI"
"0807","SULĘCIŃSKI"
"1810","ŁAŃCUCKI"
"1601","BRZESKI"
"3018","OSTRZESZOWSKI"
"1463","RADOM"
"1438","ŻYRARDOWSKI"
"3016","OBORNICKI"
"3013","LESZCZYŃSKI"
"1464","SIEDLCE"
"3063","LESZNO"
"3009","KOLSKI"
"2062","ŁOMŻA"
"3022","RAWICKI"
"3023","SŁUPECKI"
"2206","KOŚCIERSKI"
"2613","WŁOSZCZOWSKI"
"3214","STARGARDZKI"
"0264","WROCŁAW"
"2806","GIŻYCKI"
"2810","MRĄGOWSKI"
"0203","GŁOGOWSKI"
"3202","CHOSZCZEŃSKI"
"2475","SOSNOWIEC"
"2412","RYBNICKI"
"2466","GLIWICE"
"2468","JAWORZNO"
"0407","INOWROCŁAWSKI"
"0402","BRODNICKI"
"0418","WŁOCŁAWSKI"
"0409","MOGILEŃSKI"
"0463","TORUŃ"
"0416","TUCHOLSKI"
"2411","RACIBORSKI"
"2403","CIESZYŃSKI"
"1807","KROŚNIEŃSKI"
"1607","NYSKI"
"0261","JELENIA GÓRA"
"0225","ZGORZELECKI"
"1422","PRZASNYSKI"
"1461","OSTROŁĘKA"
"3025","ŚREDZKI"
"3006","JAROCIŃSKI"
"2262","GDYNIA"
"3263","ŚWINOUJŚCIE"
"0207","KAMIENNOGÓRSKI"
"1008","PABIANICKI"
"2006","KOLNEŃSKI"
"1661","OPOLE"
"2815","OSTRÓDZKI"
"2471","PIEKARY ŚLĄSKIE"
"1813","PRZEMYSKI"
"1862","PRZEMYŚL"
"1432","WARSZAWSKI ZACHODNI"
"0619","WŁODAWSKI"
"0663","LUBLIN"
"1201","BOCHEŃSKI"
"1263","TARNÓW"
"0812","WSCHOWSKI"
"0801","GORZOWSKI"
"0803","MIĘDZYRZECKI"
"0805","SŁUBICKI"
"3015","NOWOTOMYSKI"
"3028","WĄGROWIECKI"
"2003","BIELSKI"
"2012","SUWALSKI"
"2212","SŁUPSKI"
"2607","OSTROWIECKI"
"2610","SKARŻYSKI"
"2205","KARTUSKI"
"2404","CZĘSTOCHOWSKI"
"3212","PYRZYCKI"
"2474","SIEMIANOWICE ŚLĄSKIE"
"2861","ELBLĄG"
"3206","GRYFIŃSKI"
"2462","BYTOM"
"0226","ZŁOTORYJSKI"
"0223","WROCŁAWSKI"
"0213","MILICKI"
"0211","LUBIŃSKI"
"0408","LIPNOWSKI"
"0419","ŻNIŃSKI"
"0411","RADZIEJOWSKI"
"0410","NAKIELSKI"
"2801","BARTOSZYCKI"
"2417","ŻYWIECKI"
"2011","SOKÓLSKI"
